eps,n,s0,H0rd,M_B,chi2_total,delta_lcdm,delta_eps0
-0.054,-0.446,0.33212435446173805,9986.770337717553,-19.350036426150194,1766.641123788625,-5.814876211374894,-5.922541281603799
-0.052,-0.448,0.3252970749801385,9989.72315835848,-19.35025505138064,1766.7869032019114,-5.669096798088503,-5.776761868317408
-0.05,-0.45,0.31828123522913204,9992.670678227074,-19.3504726624104,1766.9374138016085,-5.518586198391404,-5.626251268620308
-0.048,-0.452,0.3110638148607383,9995.61279128194,-19.350689256515604,1767.0925954397546,-5.363404560245272,-5.471069630474176
-0.046,-0.454,0.3036300522604355,9998.549516761268,-19.350904851773983,1767.25238820704,-5.203611792959919,-5.311276863188823
-0.044,-0.456,0.29596337196020306,10001.480793692768,-19.35111943136824,1767.416732432526,-5.039267567473871,-5.1469326377027755
-0.042,-0.458,0.288044895190269,10004.406503322385,-19.351333005086342,1767.5855686833565,-4.870431316643362,-4.9780963868722665
-0.04,-0.46,0.2798528565677999,10007.326654095214,-19.351545562682507,1767.7588377644922,-4.697162235507676,-4.8048273057365805
-0.038,-0.462,0.27136211657450593,10010.241288921286,-19.3517571200865,1767.9364807183963,-4.519519281603607,-4.627184351832511
-0.036,-0.464,0.26254325370501397,10013.150340593478,-19.351967671122605,1768.1184388247825,-4.337561175217388,-4.4452262454462925
-0.034,-0.46599999999999997,0.25336179391253066,10016.053602976892,-19.35217721070971,1768.3046536003053,-4.151346399694603,-4.259011469923507
-0.032,-0.46799999999999997,0.2437763009254374,10018.9511807304,-19.35238574490635,1768.4950667983023,-3.9609332016975713,-4.068598271926476
-0.03,-0.47,0.23373659335518737,10021.843011752093,-19.35259327880686,1768.689620408473,-3.7663795915268565,-3.874044661755761
-0.028,-0.472,0.2231809472478949,10024.729040928642,-19.352799802553665,1768.8882566566367,-3.5677433433631904,-3.675408413592095
-0.026,-0.474,0.2120318146026892,10027.609265933694,-19.353005323814433,1769.0909180044052,-3.3650819955946645,-3.472747065823569
-0.024,-0.476,0.20018973957553005,10030.483499106758,-19.35320984133274,1769.2975471489244,-3.158452851075481,-3.266117921304385
-0.022,-0.478,0.18752272376428647,10033.351858133545,-19.353413355404957,1769.5080870225772,-2.947912977422675,-3.0555780476515793
